Date,Open,High,Low,Close,Volume,,
01/03/2006,17.149,17.259,17.1,17.139,790173,,
02/03/2006,17.139,17.169,16.648,16.708,437438,,
03/03/2006,16.628,16.863,16.51,16.589,380715,,
06/03/2006,16.589,16.589,16.081,16.5,455635,,
07/03/2006,16.52,16.579,16.315,16.452,215432,,
08/03/2006,16.402,16.628,16.277,16.472,204118,,
09/03/2006,16.472,16.549,16.249,16.354,423526,,
10/03/2006,16.335,17.07,16.19,16.962,519542,,
13/03/2006,17.031,17.259,16.863,16.863,345089,,
14/03/2006,16.882,17.297,16.776,17.159,208858,,
15/03/2006,17.139,17.277,16.747,16.795,393253,,
16/03/2006,16.844,17.09,16.844,16.922,573669,,
17/03/2006,16.922,17.404,16.854,17.395,680697,,
20/03/2006,17.444,17.579,17.239,17.52,358237,,
21/03/2006,17.473,17.659,17.239,17.239,295396,,
22/03/2006,17.249,17.629,17.1,17.549,278272,,
23/03/2006,17.549,17.855,17.345,17.816,310077,,
24/03/2006,17.846,18.364,17.836,17.972,542935,,
27/03/2006,17.972,18.032,17.748,17.992,253964,,
28/03/2006,17.992,18.022,17.539,17.559,431933,,
29/03/2006,17.599,17.972,17.569,17.943,257631,,
30/03/2006,17.982,18.08,17.589,17.806,527496,,
31/03/2006,17.885,17.943,17.589,17.768,406247,,
03/04/2006,17.708,17.885,17.492,17.758,307628,,
04/04/2006,17.758,18.002,17.629,17.718,290045,,
05/04/2006,17.688,19.611,17.385,17.589,210541,,
06/04/2006,17.826,17.865,17.454,17.678,204271,,
07/04/2006,17.688,18.032,17.454,17.659,313438,,
10/04/2006,17.659,17.924,17.529,17.728,483003,,
11/04/2006,17.787,17.806,17.609,17.659,299679,,
12/04/2006,17.659,17.826,17.579,17.718,348298,,
13/04/2006,17.728,17.924,17.629,17.748,277202,,
17/04/2006,17.728,17.895,17.599,17.768,500891,,
18/04/2006,17.846,18.277,17.787,18.209,357934,,
19/04/2006,18.209,18.287,17.758,17.953,296317,,
20/04/2006,17.855,18.14,17.728,17.943,227054,,
21/04/2006,18.394,18.404,17.915,17.924,383311,,
24/04/2006,17.953,18.061,17.629,17.668,203046,,
25/04/2006,17.738,18.414,17.668,18.19,483003,,
26/04/2006,18.17,18.641,18.17,18.316,361602,,
27/04/2006,17.982,18.15,17.589,17.659,1304520,,
28/04/2006,17.688,17.924,17.529,17.569,557310,,
01/05/2006,17.728,17.895,17.239,17.297,529027,,
02/05/2006,17.335,17.52,17.1,17.239,305182,,
03/05/2006,17.267,17.444,16.873,17.199,302280,,
04/05/2006,17.365,17.529,17.1,17.355,239435,,
05/05/2006,17.482,17.728,17.375,17.539,199225,,
08/05/2006,17.414,17.728,17.316,17.492,233932,,
09/05/2006,17.395,17.639,17.335,17.529,302584,,
10/05/2006,17.529,17.619,17.375,17.492,234697,,
11/05/2006,17.434,17.619,17.219,17.229,343405,,
12/05/2006,17.239,17.239,16.372,16.688,545690,,
15/05/2006,16.648,17.12,16.648,16.952,394936,,
16/05/2006,16.892,16.902,16.569,16.718,268336,,
17/05/2006,16.579,16.962,16.432,16.824,474134,,
18/05/2006,16.824,17.129,16.776,17.07,501351,,
19/05/2006,16.873,18.502,16.844,18.473,2713467,,
